"Image","Item","Client","Category","Role","Date","Program","Supplier","Notes","Image 2","Image 3","Status"
"","Imitating Color (2020)","Personal Project","Zine, Physical Goods","","","Photoshop, Collage","","Self bound zine about being stuck","","","Public"
"","Bottle Opener Necklace Promo","Nothing Radio","Video Editing","Creative Direction, Video Editor","12.2025","Final Cut Pro","","https://www.youtube.com/watch?v=H5WZZmjytsM","","","Public"
"","Kiss and Tell. NYE 2025","Nothing Radio","Event","Booking, Creative Direction, Organizing, Physical Goods, Project Management","12.2024","","","Sold out event at Home Sweet Home. 220 guests in attendance. Organized bookings, photographed & recorded the event, designed custom pins, wristbands and setup AV + Projector gear.","","","Public"
"","Anok Yai & Alex Consani Interview","Nothing Radio","Interview","Video Editor","","Final Cut Pro","","Edited interview and coordinated social scheduling across platforms. https://youtu.be/24LixXGd5OI?si=oLZsSB8bdn5d0SZw","","","Public"
"","Aspen Posters x Aviator Nation Aspen Popup","Aspen Posters","","","12.2025","","","","","","Public"
"","Aspen Posters x Performance Ski Aspen Popup","Aspen Posters","","","7.2025","","","","","","Public"
"","Get a Room Halloween Party (2024)","Nothing Radio","","","2024","","","","","","Public"
"","Cross USB","Nothing Radio","","","2024","","","","","","Public"
"","Aspen Posters Shopify Migration","Aspen Posters","Website","Project Lead","Ongoing","Shopify, Squarespace","","","","","Public"
"","Initial Launch","Flower Shop Agency","","","2024","","","","","","Public"
"","Fanatics x Tom Brady","Flower Shop Agency","","","2024","","","","","","Public"
"","Sotto Voce Short Film (Assistant to the Director)","Sotto Voce","","","2024","","","","","","Public"
"","Merchandise Design","Cinema Lab","","","2024","","","","","","Public"
"","Blog Post Editor","Farnsworth Fine Cannabis","","","2023","","","https://www.farnsworthfinecannabis.com/little-bird-blog","","","Public"
"","Glass Hotel Ash Tray","Farnsworth Fine Cannabis","Physical Goods","3D Modeling","2024","","","","","","Public"
"","Blog Post Editor","Anne K Taylor Fund","","","2024","","","","","","Public"
"","Harvard Lampoon Christmas Party","Farnsworth Fine Cannabis","","","2023","","","","","","Public"
"","Series Pilot (Production Designer)","The Chlorine Bible","Production Designer, BTS","","2023","","","","","","Public"
"","New Era","Matrixunni","","","2022","","","","","","Public"
"","Self Destruct Sequence","LeCarner Productions","","","2022","","","","","","Public"
"","Eggs","LeCarner Productions","","","2021","","","","","","Public"
"","Love Under Incandescent Light","Hotel Audio","","","2021","","","","","","Public"
"","Smashface","Renz","","","2021","","","","","","Public"
"","My Life","Lil Capi","","","2020","","","","","","Public"
"","Stone Cold Eyes","Clancy","","","2020","","","https://youtu.be/jZtVO67gaIY?si=DncMUu7YZmLwedQU","","","Public"
"","Find Me","Bloody","","","2020","","","https://youtu.be/rlSbtBNYMPA?si=abrtV6h8Xwu-YYjr","","","Public"
"","Windows","Lil Capi","Cover Artwork","","2020","","","","","","Public"
"","aw20 Silent Weapons","Personal","","","2020","","","","","","Public"
"","Don't Worry About Me","Lil Capi","Music Video","","2019","","","","","","Public"
"","Say it All","Anxiety Attacks!","Music Video","Video Editor","2019","Final Cut Pro, VHS","","https://youtu.be/dW_6ksHcp4o?si=ZczKm1pVQVB4ruCG","","","Public"
"","Lil Capi Artist Profile Art","Lil Capi","Artist Branding","","2019","","","","","","Public"
"","Triarchy Soho House Hollywood Popup","Triarchy","","","2019","","","","","","Public"
"","Chemicals","Anxiety Attacks!","Music Video","Video Editor, Filming","2019","Final Cut Pro, VHS","","https://youtu.be/dueijQ2jNMs","","",""
"","Escape Claws","Jaxxon D. Silva","Music Video","Filming, BTS","2019","Final Cut Pro, VHS","","https://youtu.be/bwelDYFC-EA?si=FwcsCQZX0hJDG-hC","","",""
